old                                      new
47cb9e742ae685d2b2112c0c37e40d0a3c8b96a1 894d8aa6ff7a6636db4adc2bb6d345922bfe452b
48015443695c7fbf05216bb0a712fb6bbed4c637 1a4288df3f43fccf9edc2d1dc808c6a7b001519f
4a0d2218a93efded18cac256fa8cba8999d6ced7 1d800d7c1332ba2fdd97e68d5cc9e5b956b5844c
4a3673e0d328923678156cb59a3a0468e25bbb8e ef4d621711e89f1af4afa9b489294d95ed369bb4
4ee5362d593790dee0de71b280a189ea81263b22 774f257349fffb2d30ae2c2eb3c62a23fb52725d
523a82caa158143d2b4a18bf63afaf3159ba54d3 6ed4291b6afd33bf2a7c3ff95ca38ccc8173f452
561a800a1ae33b61f278aead079586efa8ab81c4 7a446476bb77cd0d7f0bb0ab67f229e0b6f3fd3b
56c46933a6666bf9c9dfb6b6b4db2e7252c8876b dc5104e47b63bc12f5cad2545afef4a3dd4e0fc6
5c34644d8531d836a4674fa54ff3745730773960 995a45d48109538f71388223fa9c15d144c68601
5d87fb370b4c7f8176356491663344d051d11ed6 97e0f6fbafcd0327b12a78b74c5279a66f30f5a3
5ec9512b84eac48ecc32ec695bce556b15ded97e cd619340505999dea5ed8180cfce0dc519ce978b
604550b6abaf73171281ddecd3ad0091a8540eba 1da1d9d717072b59613f7275029e953081867c37
6337a64871ae92327546a3f592850b37cf94dd2b afed072d08551b14d9e621b1b69d0137e462aa1f
6432c042f53ca668db4c9858756dbaaee63ef5a0 a620f8034d35cdc9dba70781cee1a7eee90c72bd
65adfc15727c9be2ddf731a9c80b7b0195d5206e 33fc10287e3fd1990d0db59a50d4a67cb347bebc
67a2d81992cab3bed80de57890c6cf6fddc977f4 2cf341cd73d0ea35a80edc6d6158560e5f8497ec
68481f5e8846c5e96b6c408fbaa92ba908436971 00562a9cc2d551c92fed75c5d06cc126d4c4b5c7
68ca2c1b99ce44c809ccdadd35d183fb6f761202 d3c85df61775134ce9bedc74c639a6d26ad89526
6aef6ed21b2b9fd16d933d3f3b133d82a99555c5 75d2b7f65ba7e522a407adf053815adda7bf17c2
6bb976e1514cbed19ce9e1a300cb6d291113a196 77d2e0dc64aad6a25c4d023a10a59861137d20bd
6cc20a66e51f1782a9c392488458738099f5f94f 47c2aab0e215615b338d8ebc5374eceabeceb7e8
6d16ce7b3f9b5c1978a94233771260f544033af0 c5a8a33a4db113ad34b92f06c4db0f80f66f0a58
6e81572536afff94c52fcd9f049c32876d8c967e 302ed19490f6eeb4af6bd79d1926011d29ec820a
706ac97d3900a329b8c82414c6511cebf5445008 de4f511429cebf5879994c03027d7e29b03ca044
711f80b3a2d2d8f88e4e208772e311aa7ca485ae 033016bdf4f2c7aebc0190e31a5e3308f7138c1b
71411eedf5bca9f6152dd35e39510f849b6a81fc 4e9bb8c2ec14d733eafd0a68110de1cf08bbeae3
74fb59e45252b9f6c5aff1384c4e3dbc6b99c5f7 95ee05a8b5376248aab09fa451dec8af031dc2c7
77c174adf05865c0ec0e382032d3e18281557cdf 5f04da6f63a5ea3a3cbddf38857738ea768b2b09
78ca3957af83778adaf942a4ff34b80a41e7802f 1586c8fb4df837e6978209e9c876c9b209b4bc52
7958bb9664db1f3c649d4d3bc0f064b34c318515 e6e75b81070f05f219345226eb432b8662d78d57
79bd7fed9cd68f7aa66ddd24162b2b74f6a415c1 64f243c4bb8ba74a1fb4750381a7c5f47ba2183d
7a6aedef1a6477aa6336d1180ac33f8fefc42421 d7380d76dbc57035a7b4445511e81d34cec13f21
7de9d81cf28b92bf07bfe06a3171bb7f94e1676a fc4ae4574661a60425eb6cedd39923aff39f66d0
7e1f2075e80ba0a7e8713ee5c76cfb2184242fbd b2e7b3812f0f71483bab6c2b8d2a289728fca570
7e415a710f7b4e146ad9239cfe91a9fff45fb130 71e399877862268947d23cb6a21287c8cdfb30d5
807ba916e6f4e2ecdbc4d0689bf8e1664671de8b 52d294392bace3a57575b534d26f49be811085bb
813491f73a46676ce0824ca2ee0bc93d5c28bc8e dee8a2a5acb54e1f8929b4f1ad13a78f3ca7b12c
890ffed035ab8c01ffb5013166845407a68426bf ac8094a4f7c8df9321ec00c3dbe15e7334ce2f45
8ae1f7edcf1b154c11c104ec98e8b3c44ac64477 26c9aaa31fcd60b9956e30d4d31fa5649be0628a
8b05d434ddbd7a1a1bcec07abfcf59bf895caef2 2f215bca7de20125966ac096c8e25a163cd36b15
912e26a8f1f715407475a9ac508d1cf1fa5f14f2 c8eda2e3b45cdf3809b7a35828cd440654cb58ac
9c38e33f07801ced3a1cb6ae9d408f32956005de 5e09d3d3cefdb9390b7ef7a17be04354f1309021
a173ca5225f213e59cff021145c42ab4a958f03c 9c4f405ca8be4df5ae8ed8223ffb7d7ebdfb1c50
a6d240e7c4a68cbba2336ac6de040e296e0f96c7 ecc4299c20f301cc969f393836736fba303a33f1
a9b073ef5596025ac006e8b90c3e7e4c1f4d4338 a6a9805a99d164700cee0d26b92f51681484b78c
aa147a68539d30be9205d9dfca11e8c9b2e07fb2 90c7666481ede5df6e2ade177173f10580f65c35
adeffc270432a501c1a6bcf5d538d1b5bb6d6e07 86d026663fc53118aa8a883962e9eda9a0e52c4c
adf836979a1f675e3a30d1546f6c30910fac1c0c 743237c1b2e4023b6ab5ed269cd9f24d1999d279
bb154d5385095b9975e8a359e4715cf370c2462c 75f68e6e066f88b05c4096567a2bcd237f51b152
bcf0d8db8b340718277dbba3b44a585493f26aa5 3b2a07ae14ad3963b00eea11db1e32cd968c2b30
c4809b85b45793cf36092146839e5176ba7817cd 7795fed842079d05701d5d2c608e9be2d15bccea
c60db6064723d4de5112f61af3e40d1a0a660eb2 c59c1cd5d5eb484859d2cbce1170e1b15aec7209
d0cb363ecbc2770e93199e3eca48d24a44e917a4 4f5ea5a9e0c95254692370e62b1fea412c3d1bca
d406fe7082df75030f628fb484ab86ae3cdfa378 e920d88ff10dec41d196e02a81c6dcbf86962885
d589058a781aabfbe517f157cbfe6c4b671ea7cf f3fbcea98964fa372263821be877973583a9dd33
d73de141a1cfb15f68b8d11d5667a356e6016839 4f5bcde1ac82b0c97354586a817f2e3eec6108f3
d84bcbeef6d7bc166a9e441a6aa394211013d2e0 5ec1c818cc35cc12d29125d0ac2a3d71eec7de05
d84c3352a94c3af6d721eddf088b392c0df042b2 9ab7e13b4182f5ce4e70b942d083939ea581ea6b
dbc137366e3f0a8ec61d53ad79d32d4bbbd45d78 b963af375b6b6c4d23029de9a5b0609b07263c48
dd9ffe91fb6241ec59dfb66329b96e4502dab527 42e74bf529854017445aba5cf72cad07c035a002
dfba93a18ddc3b26878f77e8d6c38ab3e73ac6cb 164b4544f987cac02399c1401ca47a309c0a4395
e72c4cdf2ca4f32028bc57dc3bc5a28004f77c53 4b2be32953f00596977f3f3396803bac35b5dcfc
ea96f504c8e3169943e5572146ca86a7bf824c3b 790cfb996049cd0940e3782b9445e44d999e10f0
eb947bda401e55790747fc58210d4c5eef10b0ac 520a3785784e08fecad8bdd0349e5fe7edabcd2d
ef96496474397e16e1cc4c34e4a3724f795e6e3c 9fedd3e2cc503b8401987a71066ba3d586455247
f09088308d6ce972ec13aba9337fe7823b86fdb1 89f4e142bbce7bc2ecd1600d8db2b26fa768bfc5
f291902dc48996bf8a57838ae53e1b45fe30ebee 89088f76c6d5a1a246f3c54bc349bd0f5f6339bd
f46e422b22f777b1404f345060fd85e47c43c2a6 d0b43332ff0002ee1fb1e829ca09dd01716860de
f65012480fe5733cd555cda4b6dc8794080cf4e8 9241f45f930b604d325705b95548d98d000445fe
f7f84557f6e309a1cfc037e72553ef0f5031fa01 fe5834bc67a1f19d2ddb91e49ea2b7c89c470092
f91551b74d97bbc267acfb22024840cf2b199f75 cac9339457f883b09031b10518fb67f41faa21b6
f9b4c4dddca733ac8f1ebf86d8cbf4ed0faf20ed 2403958b0cf9a0a88770160ed5b44c560d1200a1
fcb7f88507affdc7285a11fc6470cd035b34c2b7 a9ffaf94e457872b95fc414f081fb2cf6d79b738
